country;density;year
PER;49,348;1966
PHL;58,226;1966
POL;66,9;1966
PRT;62,377;1966
PRI;67,215;1966
QAT;64,155;1966
ROU;65,538;1966
RUS;63,433;1966
RWA;42,228;1966
WSM;49,75;1966
STP;52,219;1966
SAU;47,177;1966
SEN;37,57;1966
SLE;30,657;1966
SGP;64,074;1966
SVK;67,875;1966
SVN;65,5;1966
SLB;51,65;1966
SOM;37,875;1966
ZAF;52,262;1966
SSD;32,902;1966
ESP;68,46;1966
LKA;60,195;1966
LCA;57,614;1966
VCT;60,984;1966
SDN;49,248;1966
SUR;59,97;1966
SWZ;44,165;1966
SWE;71,82;1966
CHE;69,56;1966
SYR;54,46;1966
TJK;56,267;1966
TZA;43,649;1966
THA;55,261;1966
TLS;36,336;1966
TGO;42,934;1966
TON;62,931;1966
TTO;62,877;1966
TUN;45,733;1966
TUR;47,085;1966
TKM;53,448;1966
UGA;45,884;1966
UKR;66,878;1966
ARE;56,203;1966
GBR;68,5;1966
USA;66,7;1966
URY;65,533;1966
UZB;57,371;1966
VUT;48,668;1966
VEN;60,601;1966
VNM;57,863;1966
VIR;66,34;1966
YEM;36,275;1966
ZMB;45,796;1966
ZWE;52,036;1966
AFG;34,636;1967
ALB;65,116;1967
DZA;48,408;1967
AGO;34,292;1967
ATG;62,091;1967
ARG;62,731;1967
ARM;65,81;1967
ABW;66,242;1967
AUS;67,64;1967
AUT;66,63;1967
AZE;58,914;1967
BHS;62,643;1967
BHR;58,458;1967
BGD;48,576;1967
BRB;61,948;1967
BLR;66,768;1967
BEL;67,93;1967
BLZ;62,83;1967
BEN;39,637;1967
BTN;37,278;1967
BOL;43,237;1967
BIH;62,487;1967
BWA;51,318;1967
BRA;55,325;1967
BRN;64,45;1967
BGR;68,37;1967
BFA;36,681;1967
BDI;41,721;1967
CPV;50,542;1967
KHM;40,581;1967
CMR;43,319;1967
CAN;68,92;1967
CAF;38,191;1967
TCD;38,587;1967
CHI;68,396;1967
CHL;57,532;1967
CHN;52,062;1967
COL;58,129;1967
COM;42,799;1967
COD;41,411;1967
COG;50,827;1967
CRI;63,367;1967
CIV;40,235;1967
HRV;63,918;1967
CUB;66,682;1967
CYP;69,751;1967
CZE;67,03;1967
DNK;70,61;1967
DJI;45,888;1967
DOM;55,099;1967
ECU;55,233;1967
EGY;49,658;1967
SLV;51,262;1967
GNQ;37,334;1967
ERI;40,495;1967
EST;65,707;1967
ETH;40,517;1967
FJI;57,022;1967
FIN;65,93;1967
FRA;67,6;1967
PYF;57,409;1967
GAB;42,506;1967
GMB;34,254;1967
GEO;62,432;1967
DEU;67,554;1967
GHA;47,905;1967
GRC;67,591;1967
GRD;60,663;1967
GUM;62,395;1967
GTM;49,702;1967
GIN;34,956;1967
GNB;38,864;1967
GUY;59,063;1967
HTI;44,634;1967
HND;48,913;1967
HKG;66,857;1967
HUN;66,89;1967
ISL;71,11;1967
IND;46,328;1967
IDN;51,611;1967
IRN;48,941;1967
IRQ;56,301;1967
IRL;68,591;1967
ISR;69,9;1967
ITA;68,22;1967
JAM;65,879;1967
JPN;68,74;1967
JOR;57,243;1967
KAZ;56,099;1967
KEN;48,462;1967
KIR;50,681;1967
PRK;53,142;1967
KOR;55,488;1967
KWT;63,502;1967
KGZ;55,039;1967
LAO;43,832;1967
LVA;66,75;1967
LBN;63,544;1967
LSO;46,753;1967
LBR;35,719;1967
LBY;51,437;1967
LTU;67,96;1967
LUX;66,515;1967
MAC;65,942;1967
MKD;64,003;1967
MDG;42,421;1967
MWI;38,721;1967
MYS;62,151;1967
MDV;42,193;1967
MLI;29,631;1967
MLT;68,827;1967
MRT;46,8;1967
MUS;60,808;1967
MEX;58,053;1967
FSM;59,851;1967
MDA;60,843;1967
MNG;51,541;1967
MNE;66,18;1967
MAR;50,457;1967
MOZ;36,501;1967
MMR;46,351;1967
NAM;48,886;1967
NPL;38,515;1967
NLD;71,17;1967
NCL;59;1967
NZL;68,4;1967
NIC;50,241;1967
NER;35,075;1967
NGA;38,474;1967
NOR;71,33;1967
OMN;47,05;1967
PAK;50,885;1967
PAN;62,97;1967
PNG;44,444;1967
PRY;63,045;1967
PER;49,9;1967
PHL;58,467;1967
POL;66,4;1967
PRT;62,75;1967
PRI;67,504;1967
QAT;64,949;1967
ROU;65,463;1967
RUS;63,386;1967
RWA;42,384;1967
WSM;50,25;1967
STP;52,761;1967
SAU;47,96;1967
SEN;37,595;1967
SLE;31,296;1967
SGP;64,255;1967
SVK;67,66;1967
SVN;66;1967
SLB;52,15;1967
SOM;38,274;1967
ZAF;52,597;1967
SSD;33,309;1967
ESP;68,57;1967
LKA;60,787;1967
LCA;58,124;1967
VCT;61,526;1967
SDN;49,652;1967
SUR;60,296;1967
SWZ;44,565;1967
SWE;71,82;1967
CHE;69,7;1967
SYR;55,188;1967
TJK;56,654;1967
TZA;43,976;1967
THA;55,693;1967
TLS;37,031;1967
TGO;43,508;1967
TON;63,237;1967
TTO;62,905;1967
TUN;46,741;1967
TUR;47,768;1967
TKM;53,837;1967
UGA;46,352;1967
UKR;66,826;1967
ARE;57,219;1967
GBR;69,1;1967
USA;67;1967
URY;65,526;1967
UZB;57,731;1967
VUT;49,255;1967
VEN;61,025;1967
VNM;57,424;1967
VIR;66,646;1967
YEM;37,188;1967
ZMB;46,183;1967
ZWE;52,343;1967
AFG;35,069;1968
ALB;65,233;1968
DZA;48,781;1968
AGO;34,693;1968
ATG;62,427;1968
ARG;62,893;1968
ARM;66,22;1968
ABW;66,503;1968
AUS;67,68;1968
AUT;66,76;1968
AZE;59,111;1968
BHS;62,886;1968
BHR;59,559;1968
BGD;48,318;1968
BRB;62,386;1968
BLR;66,768;1968
BEL;67,62;1968
BLZ;63,396;1968
BEN;40,008;1968
BTN;37,86;1968
BOL;43,61;1968
BIH;63,003;1968
BWA;51,743;1968
BRA;55,696;1968
BRN;64,831;1968
BGR;69,23;1968
BFA;37,118;1968
BDI;41,907;1968
CPV;51,095;1968
KHM;40,547;1968
CMR;43,767;1968
CAN;69,09;1968
CAF;38,803;1968
TCD;39,045;1968
CHI;68,495;1968
CHL;58,069;1968
CHN;54,022;1968
COL;58,447;1968
COM;43,214;1968
COD;41,752;1968
COG;51,2;1968
CRI;63,809;1968
CIV;40,881;1968
HRV;64,166;1968
CUB;67,256;1968
CYP;70,022;1968
CZE;66,47;1968
DNK;70,78;1968
DJI;46,477;1968
DOM;55,704;1968
ECU;55,59;1968
EGY;49,916;1968
SLV;51,595;1968
GNQ;37,635;1968
ERI;40,851;1968
EST;65,74;1968
ETH;40,851;1968
FJI;57,422;1968
FIN;65,87;1968
FRA;67,7;1968
PYF;57,782;1968
GAB;43,386;1968
GMB;35,021;1968
GEO;62,775;1968
DEU;67,609;1968
GHA;48,113;1968
GRC;67,805;1968
GRD;60,995;1968
GUM;62,82;1968
GTM;50,277;1968
GIN;35,115;1968
GNB;39,265;1968
GUY;59,195;1968
HTI;45,094;1968
HND;49,47;1968
HKG;67,212;1968
HUN;66,64;1968
ISL;71,64;1968
IND;46,978;1968
IDN;52,207;1968
IRN;49,494;1968
IRQ;57,094;1968
IRL;68,636;1968
ISR;69,32;1968
ITA;67,98;1968
JAM;66,202;1968
JPN;69,06;1968
JOR;57,904;1968
KAZ;56,468;1968
KEN;49,024;1968
KIR;51,193;1968
PRK;54,243;1968
KOR;56,268;1968
KWT;63,979;1968
KGZ;55,43;1968
LAO;44,163;1968
LVA;65,76;1968
LBN;63,816;1968
LSO;46,888;1968
LBR;36,32;1968
LBY;52,512;1968
LTU;67,66;1968
LUX;66,561;1968
MAC;66,396;1968
MKD;64,461;1968
MDG;42,908;1968
MWI;39,043;1968
MYS;62,557;1968
MDV;42,969;1968
MLI;30,225;1968
MLT;69,099;1968
MRT;47,231;1968
MUS;60,839;1968
MEX;58,387;1968
FSM;60,261;1968
MDA;61,115;1968
MNG;52,095;1968
MNE;66,552;1968
MAR;50,824;1968
MOZ;36,898;1968
MMR;47,21;1968
NAM;49,337;1968
NPL;39,109;1968
NLD;70,92;1968
NCL;59,4;1968
NZL;68,1;1968
NIC;50,915;1968
NER;35,155;1968
NGA;38,857;1968
NOR;71,22;1968
OMN;47,732;1968
PAK;51,565;1968
PAN;63,368;1968
PNG;45,147;1968
PRY;63,167;1968
PER;50,517;1968
PHL;58,704;1968
POL;67;1968
PRT;63,128;1968
PRI;67,79;1968
QAT;65,719;1968
ROU;65,481;1968
RUS;63,308;1968
RWA;42,51;1968
WSM;50,75;1968
STP;53,333;1968
SAU;48,825;1968
SEN;37,713;1968
SLE;32,085;1968
SGP;64,463;1968
SVK;67,44;1968
SVN;65,6;1968
SLB;52,65;1968
SOM;38,669;1968
ZAF;52,9;1968
SSD;33,702;1968
ESP;68,85;1968
LKA;61,358;1968
LCA;58,635;1968
VCT;62,014;1968
SDN;50,051;1968
SUR;60,6;1968
SWZ;45,016;1968
SWE;71,69;1968
CHE;69,8;1968
SYR;55,944;1968
TJK;57,024;1968
TZA;44,316;1968
THA;56,126;1968
TLS;37,761;1968
TGO;44,077;1968
TON;63,543;1968
TTO;62,918;1968
TUN;47,804;1968
TUR;48,409;1968
TKM;54,206;1968
UGA;46,755;1968
UKR;66,726;1968
ARE;58,188;1968
GBR;68,7;1968
USA;66;1968
URY;65,515;1968
UZB;58,076;1968
VUT;49,838;1968
VEN;61,44;1968
VNM;56,675;1968
VIR;66,952;1968
YEM;38,1;1968
ZMB;46,595;1968
ZWE;52,646;1968
AFG;35,505;1969
ALB;65,346;1969
DZA;49,152;1969
AGO;35,096;1969
ATG;62,757;1969
ARG;63,099;1969
ARM;66,602;1969
ABW;66,745;1969
AUS;67,72;1969
AUT;66,56;1969
AZE;59,301;1969
BHS;63,124;1969
BHR;60,589;1969
BGD;47,887;1969
BRB;62,797;1969
BLR;66,731;1969
BEL;67,56;1969
BLZ;63,927;1969
BEN;40,368;1969
BTN;38,442;1969
BOL;43,991;1969
BIH;63,524;1969
BWA;52,203;1969
BRA;56,056;1969
BRN;65,205;1969
BGR;68,23;1969
BFA;37,547;1969
BDI;42,065;1969
CPV;51,638;1969
KHM;40,249;1969
CMR;44,223;1969
CAN;69,16;1969
CAF;39,457;1969
TCD;39,522;1969
CHI;68,589;1969
CHL;58,631;1969
CHN;55,794;1969
COL;58,739;1969
COM;43,637;1969
COD;42,107;1969
COG;51,557;1969
CRI;64,239;1969
CIV;41,556;1969
HRV;64,416;1969
CUB;67,798;1969
CYP;70,285;1969
CZE;65,85;1969
DNK;70,86;1969
DJI;47,11;1969
DOM;56,287;1969
ECU;55,954;1969
EGY;50,153;1969
SLV;51,898;1969
GNQ;37,939;1969
ERI;41,2;1969
EST;65,732;1969
ETH;41,161;1969
FJI;57,813;1969
FIN;65,64;1969
FRA;67,8;1969
PYF;58,151;1969
GAB;44,256;1969
GMB;35,831;1969
GEO;63,098;1969
DEU;67,658;1969
GHA;48,291;1969
GRC;68,061;1969
GRD;61,316;1969
GUM;63,235;1969
GTM;50,852;1969
GIN;35,293;1969
GNB;39,66;1969
GUY;59,303;1969
HTI;45,524;1969
HND;50,03;1969
HKG;67,547;1969
HUN;66,7;1969
ISL;71,23;1969
IND;47,627;1969
IDN;52,801;1969
IRN;50,092;1969
IRQ;57,786;1969
IRL;68,673;1969
ISR;69,19;1969
ITA;67,89;1969
JAM;66,507;1969
JPN;69,19;1969
JOR;58,555;1969
KAZ;56,815;1969
KEN;49,595;1969
KIR;51,71;1969
PRK;55,277;1969
KOR;57,051;1969
KWT;64,431;1969
KGZ;55,799;1969
LAO;44,495;1969
LVA;65,27;1969
LBN;64,085;1969
LSO;47,057;1969
LBR;36,921;1969
LBY;53,524;1969
LTU;67,07;1969
LUX;66,599;1969
MAC;66,872;1969
MKD;64,883;1969
MDG;43,395;1969
MWI;39,412;1969
MYS;62,95;1969
MDV;43,763;1969
MLI;30,863;1969
MLT;69,367;1969
MRT;47,652;1969
MUS;60,828;1969
MEX;58,734;1969
FSM;60,675;1969
MDA;61,329;1969
MNG;52,628;1969
MNE;66,913;1969
MAR;51,186;1969
MOZ;37,308;1969
MMR;47,924;1969
NAM;49,751;1969
NPL;39,7;1969
NLD;70,92;1969
NCL;59,8;1969
NZL;68,4;1969
NIC;51,583;1969
NER;35,248;1969
NGA;39,252;1969
NOR;70,8;1969
OMN;48,415;1969
PAK;52,209;1969
PAN;63,762;1969
PNG;45,832;1969
PRY;63,295;1969
PER;51,198;1969
PHL;58,934;1969
POL;66,5;1969
PRT;63,512;1969
PRI;68,067;1969
QAT;66,458;1969
ROU;65,612;1969
RUS;63,212;1969
RWA;42,613;1969
WSM;51,25;1969
STP;53,935;1969
SAU;49,769;1969
SEN;37,952;1969
SLE;33,006;1969
SGP;64,714;1969
SVK;67,234;1969
SVN;64,8;1969
SLB;53,15;1969
SOM;39,059;1969
ZAF;53,166;1969
SSD;34,081;1969
ESP;68,36;1969
LKA;61,899;1969
LCA;59,156;1969
VCT;62,455;1969
SDN;50,44;1969
SUR;60,878;1969
SWZ;45,519;1969
SWE;71,68;1969
CHE;69,72;1969
SYR;56,722;1969
TJK;57,375;1969
TZA;44,671;1969
THA;56,564;1969
TLS;38,452;1969
TGO;44,64;1969
TON;63,849;1969
TTO;62,935;1969
TUN;48,91;1969
TUR;49,009;1969
TKM;54,552;1969
UGA;47,085;1969
UKR;66,59;1969
ARE;59,105;1969
GBR;68,6;1969
USA;66,8;1969
URY;65,51;1969
UZB;58,403;1969
VUT;50,416;1969
VEN;61,847;1969
VNM;55,713;1969
VIR;67,257;1969
YEM;38,988;1969
ZMB;47,028;1969
ZWE;52,951;1969
AFG;35,946;1970
ALB;65,496;1970
DZA;49,529;1970
AGO;35,503;1970
ATG;63,083;1970
ARG;63,344;1970
ARM;66,935;1970
ABW;66,972;1970
AUS;67,76;1970
AUT;66,5;1970
AZE;59,479;1970
BHS;63,358;1970
BHR;61,547;1970
BGD;47,417;1970
BRB;63,181;1970
BLR;66,669;1970
BEL;67,85;1970
BLZ;64,417;1970
BEN;40,726;1970
BMU;66,89;1970
BTN;39,015;1970
BOL;44,378;1970
BIH;64,048;1970
BWA;52,702;1970
BRA;56,399;1970
BRN;65,573;1970
BGR;69,11;1970
BFA;37,972;1970
BDI;42,219;1970
CPV;52,205;1970
KHM;39,319;1970
CMR;44,693;1970
CAN;69,32;1970
CAF;40,152;1970
TCD;40,01;1970
CHI;68,681;1970
CHL;59,217;1970
CHN;57,331;1970
COL;59,021;1970
COM;44,063;1970
COD;42,46;1970
COG;51,901;1970
CRI;64,667;1970
CIV;42,261;1970
HRV;64,66;1970
CUB;68,307;1970
CYP;70,542;1970
CZE;66,05;1970
DNK;70,88;1970
DJI;47,76;1970
DOM;56,847;1970
ECU;56,335;1970
EGY;50,402;1970
SLV;52,153;1970
GNQ;38,237;1970
ERI;41,551;1970
EST;65,681;1970
ETH;41,451;1970
FJI;58,196;1970
FIN;66,16;1970
FRA;68;1970
PYF;58,51;1970
GAB;45,106;1970
GMB;36,673;1970
GEO;63,408;1970
DEU;67,711;1970
GHA;48,454;1970
GRC;68,349;1970
GRD;61,628;1970
GUM;63,64;1970
GTM;51,414;1970
GIN;35,503;1970
GNB;40,049;1970
GUY;59,387;1970
HTI;45,926;1970
HND;50,601;1970
HKG;67,867;1970
HUN;66,35;1970
ISL;70,69;1970
IND;48,27;1970
IDN;53,39;1970
IRN;50,783;1970
IRQ;58,415;1970
IRL;68,709;1970
ISR;69,55;1970
ITA;68,71;1970
JAM;66,804;1970
JPN;69,36;1970
JOR;59,199;1970
KAZ;57,135;1970
KEN;50,175;1970
KIR;52,216;1970
PRK;56,228;1970
KOR;58,67;1970
KWT;64,861;1970
KGZ;56,141;1970
LAO;44,825;1970
LVA;65,65;1970
LBN;64,347;1970
LSO;47,277;1970
LBR;37,528;1970
LBY;54,482;1970
LTU;66,78;1970
LUX;66,642;1970
MAC;67,366;1970
MKD;65,264;1970
MDG;43,879;1970
MWI;39,822;1970
MYS;63,332;1970
MDV;44,58;1970
MLI;31,533;1970
MLT;69,63;1970
MRT;48,065;1970
MUS;60,8;1970
MEX;59,1;1970
FSM;61,097;1970
MDA;61,483;1970
MNG;53,124;1970
MNE;67,253;1970
MAR;51,549;1970
MOZ;37,735;1970
MMR;48,495;1970
NAM;50,15;1970
NPL;40,282;1970
NLD;70,81;1970
NCL;60,2;1970
NZL;68,2;1970
NIC;52,23;1970
NER;35,358;1970
NGA;39,662;1970
NOR;71,01;1970
OMN;49,115;1970
PAK;52,813;1970
PAN;64,158;1970
PNG;46,503;1970
PRY;63,429;1970
PER;51,924;1970
PHL;59,143;1970
POL;66,6;1970
PRT;64;1970
PRI;68,337;1970
QAT;67,159;1970
ROU;65,853;1970
RUS;63,08;1970
RWA;42,701;1970
WSM;51,75;1970
STP;54,567;1970
SAU;50,786;1970
SEN;38,342;1970
SLE;34,013;1970
SGP;65,016;1970
SVK;67,064;1970
SVN;65;1970
SLB;53,656;1970
SOM;39,445;1970
ZAF;53,389;1970
SSD;34,454;1970
ESP;69,32;1970
LKA;62,4;1970
LCA;59,693;1970
VCT;62,844;1970
SDN;50,81;1970
SUR;61,134;1970
SWZ;46,067;1970
SWE;72,22;1970
CHE;70,03;1970
SYR;57,513;1970
TJK;57,704;1970
TZA;45,045;1970
THA;57,012;1970
TLS;38,914;1970
TGO;45,199;1970
TON;64,149;1970
TTO;62,976;1970
TUN;50,052;1970
TUR;49,578;1970
TKM;54,871;1970
UGA;47,342;1970
UKR;66,424;1970
ARE;59,969;1970
GBR;68,9;1970
USA;67,1;1970
URY;65,518;1970
UZB;58,706;1970
VUT;50,992;1970
VEN;62,243;1970
VNM;54,759;1970
VIR;67,559;1970
YEM;39,843;1970
ZMB;47,477;1970
ZWE;53,263;1970
AFG;36,392;1971
ALB;65,714;1971
DZA;49,921;1971
AGO;35,916;1971
ATG;63,403;1971
ARG;63,618;1971
ARM;67,198;1971
ABW;67,19;1971
AUS;67,8;1971
AUT;66,7;1971
AZE;59,637;1971
BHS;63,588;1971
BHR;62,437;1971
BGD;47,079;1971
BRB;63,542;1971
BLR;66,593;1971
BEL;67,88;1971
BLZ;64,859;1971
BEN;41,087;1971
BTN;39,573;1971
BOL;44,771;1971
BIH;64,571;1971
BWA;53,245;1971
BRA;56,721;1971
BRN;65,936;1971
BGR;68,62;1971
BFA;38,399;1971
BDI;42,397;1971
CPV;52,841;1971
KHM;37,325;1971
CMR;45,18;1971
CAN;69,6;1971
CAF;40,887;1971
TCD;40,494;1971
CHI;68,776;1971
CHL;59,827;1971
CHN;58,635;1971
COL;59,307;1971
COM;44,488;1971
COD;42,793;1971
COG;52,231;1971
CRI;65,1;1971
CIV;42,993;1971
HRV;64,887;1971
CUB;68,79;1971
CYP;70,792;1971
CZE;66,16;1971
DNK;70,8;1971
DJI;48,392;1971
DOM;57,381;1971
ECU;56,74;1971
EGY;50,705;1971
SLV;52,34;1971
GNQ;38,522;1971
ERI;41,908;1971
EST;65,579;1971
ETH;41,723;1971
FJI;58,568;1971
FIN;65,92;1971
FRA;68,2;1971
PYF;58,855;1971
GAB;45,937;1971
GMB;37,534;1971
GEO;63,714;1971
DEU;67,778;1971
GHA;48,62;1971
GRC;68,649;1971
GRD;61,931;1971
GUM;64,035;1971
GTM;51,951;1971
GIN;35,758;1971
GNB;40,436;1971
GUY;59,449;1971
HTI;46,305;1971
HND;51,191;1971
HKG;67,8;1971
HUN;66,15;1971
ISL;70,79;1971
IND;48,904;1971
IDN;53,97;1971
IRN;51,625;1971
IRQ;59,034;1971
IRL;68,75;1971
ISR;70,08;1971
ITA;68,88;1971
JAM;67,104;1971
JPN;70,4;1971
JOR;59,835;1971
KAZ;57,423;1971
KEN;50,759;1971
KIR;52,692;1971
PRK;57,095;1971
KOR;58,99;1971
KWT;65,271;1971
KGZ;56,451;1971
LAO;45,152;1971
LVA;65,75;1971
LBN;64,598;1971
LSO;47,555;1971
LBR;38,155;1971
LBY;55,397;1971
LTU;67,55;1971
LUX;66,699;1971
MAC;67,875;1971
MKD;65,601;1971
MDG;44,361;1971
MWI;40,261;1971
MYS;63,704;1971
MDV;45,423;1971
MLI;32,222;1971
MLT;69,89;1971
MRT;48,471;1971
MUS;60,767;1971
MEX;59,486;1971
FSM;61,534;1971
MDA;61,582;1971
MNG;53,56;1971
MNE;67,557;1971
MAR;51,911;1971
MOZ;38,185;1971
MMR;48,952;1971
NAM;50,566;1971
NPL;40,854;1971
NLD;70,99;1971
NCL;60,6;1971
NZL;68,7;1971
NIC;52,836;1971
NER;35,488;1971
NGA;40,091;1971
NOR;71,15;1971
OMN;49,855;1971
PAK;53,37;1971
PAN;64,56;1971
PNG;47,172;1971
PRY;63,567;1971
PER;52,669;1971
PHL;59,313;1971
POL;66,1;1971
PRT;63,6;1971
PRI;68,603;1971
QAT;67,814;1971
ROU;66,27;1971
RUS;63,24;1971
RWA;42,777;1971
WSM;52,25;1971
STP;55,232;1971
SAU;51,866;1971
SEN;38,904;1971
SLE;35,048;1971
SGP;65,369;1971
SVK;66,939;1971
SVN;65,2;1971
SLB;54,174;1971
SOM;39,828;1971
ZAF;53,565;1971
SSD;34,83;1971
ESP;68,84;1971
LKA;62,863;1971
LCA;60,25;1971
VCT;63,169;1971
SDN;51,156;1971
SUR;61,372;1971
SWZ;46,649;1971
SWE;71,98;1971
CHE;70,16;1971
SYR;58,307;1971
TJK;58,013;1971
TZA;45,446;1971
THA;57,468;1971
TLS;38,915;1971
TGO;45,754;1971
TON;64,437;1971
TTO;63,056;1971
TUN;51,219;1971
TUR;50,129;1971
TKM;55,158;1971
UGA;47,532;1971
UKR;66,228;1971
ARE;60,78;1971
GBR;69,2;1971
USA;67,4;1971
URY;65,545;1971
UZB;58,98;1971
VUT;51,565;1971
VEN;62,625;1971
VNM;54,084;1971
VIR;67,857;1971
YEM;40,673;1971
ZMB;47,935;1971
ZWE;53,584;1971
AFG;36,847;1972
ALB;66,004;1972
DZA;50,344;1972
AGO;36,336;1972
ATG;63,719;1972
ARG;63,906;1972
ARM;67,381;1972
ABW;67,405;1972
AUS;68,16;1972
AUT;67;1972
AZE;59,775;1972
BHS;63,813;1972
BHR;63,266;1972
BGD;47,005;1972
BRB;63,887;1972
BLR;66,509;1972
BEL;68,21;1972
BLZ;65,257;1972
BEN;41,459;1972
BTN;40,118;1972
BOL;45,172;1972
BIH;65,082;1972
BWA;53,822;1972
BRA;57,019;1972
BRN;66,293;1972
BGR;68,68;1972
BFA;38,842;1972
BDI;42,623;1972
CPV;53,58;1972
KHM;34,187;1972
CMR;45,684;1972
CAN;69,49;1972
CAF;41,649;1972
TCD;40,962;1972
CHI;68,88;1972
CHL;60,456;1972
CHN;59,77;1972
COL;59,612;1972
COM;44,911;1972
COD;43,092;1972
COG;52,546;1972
CRI;65,542;1972
CIV;43,737;1972
HRV;65,088;1972
CUB;69,252;1972
CYP;71,036;1972
CZE;66,84;1972
DNK;70,8;1972
DJI;48,975;1972
DOM;57,89;1972
ECU;57,166;1972
EGY;51,088;1972
SLV;52,444;1972
GNQ;38,792;1972
ERI;42,271;1972
EST;65,426;1972
ETH;41,976;1972
FJI;58,929;1972
FIN;66,6;1972
FRA;68,4;1972
PYF;59,186;1972
GAB;46,76;1972
GMB;38,404;1972
GEO;64,024;1972
DEU;67,867;1972
GHA;48,804;1972
GRC;68,935;1972
GRD;62,224;1972
GUM;64,42;1972
GTM;52,454;1972
GIN;36,062;1972
GNB;40,826;1972
GUY;59,495;1972
HTI;46,668;1972
HND;51,804;1972
HKG;67,7;1972
HUN;66,85;1972
ISL;72,09;1972
IND;49,526;1972
IDN;54,535;1972
IRN;52,603;1972
IRQ;59,662;1972
IRL;68,802;1972
ISR;70,2;1972
ITA;69,09;1972
JAM;67,41;1972
JPN;71,17;1972
JOR;60,464;1972
KAZ;57,683;1972
KEN;51,343;1972
KIR;53,123;1972
PRK;57,902;1972
KOR;59,3;1972
KWT;65,66;1972
KGZ;56,732;1972
LAO;45,473;1972
LVA;65,23;1972
LBN;64,834;1972
LSO;47,885;1972
LBR;38,812;1972
LBY;56,281;1972
LTU;66,81;1972
LUX;66,778;1972
MAC;68,388;1972
MKD;65,893;1972
MDG;44,836;1972
MWI;40,709;1972
MYS;64,065;1972
MDV;46,296;1972
MLI;32,925;1972
MLT;70,147;1972
MRT;48,872;1972
MUS;60,738;1972
MEX;59,884;1972
FSM;61,984;1972
MDA;61,639;1972
MNG;53,919;1972
MNE;67,815;1972
MAR;52,276;1972
MOZ;38,648;1972
MMR;49,348;1972
NAM;51,017;1972
NPL;41,418;1972
NLD;70,81;1972
NCL;61;1972
NZL;69;1972
NIC;53,386;1972
NER;35,643;1972
NGA;40,536;1972
NOR;71,33;1972
OMN;50,644;1972
PAK;53,877;1972
PAN;64,968;1972
PNG;47,853;1972
PRY;63,704;1972
PER;53,401;1972
PHL;59,435;1972
POL;67,3;1972
PRT;65,3;1972
PRI;68,868;1972
QAT;68,422;1972
ROU;66,28;1972
RUS;63,25;1972
RWA;42,857;1972
WSM;52,75;1972
STP;55,912;1972
SAU;52,987;1972
SEN;39,625;1972
SLE;36,045;1972
SGP;65,759;1972
SVK;66,856;1972
SVN;65,4;1972
SLB;54,704;1972
SOM;40,211;1972
ZAF;53,7;1972
SSD;35,214;1972
ESP;70,14;1972
LKA;63,296;1972
LCA;60,822;1972
VCT;63,428;1972
SDN;51,469;1972
SUR;61,598;1972
SWZ;47,25;1972
SWE;72,04;1972
CHE;70,62;1972
SYR;59,092;1972
TJK;58,304;1972
TZA;45,871;1972
THA;57,933;1972
TLS;38,362;1972
TGO;46,305;1972
TON;64,707;1972
TTO;63,175;1972
TUN;52,4;1972
TUR;50,68;1972
TKM;55,416;1972
UGA;47,67;1972
UKR;66,005;1972
ARE;61,548;1972
GBR;69,1;1972
USA;67,4;1972
URY;65,592;1972
UZB;59,227;1972
VUT;52,137;1972
VEN;62,988;1972
VNM;53,886;1972
VIR;68,151;1972
YEM;41,508;1972
ZMB;48,383;1972
ZWE;53,918;1972
AFG;37,312;1973
ALB;66,356;1973
DZA;50,814;1973
AGO;36,756;1973
ATG;64,028;1973
ARG;64,198;1973
ARM;67,486;1973
ABW;67,626;1973
AUS;68,52;1973
AUT;67,6;1973
AZE;59,893;1973
BHS;64,033;1973
BHR;64,043;1973
BGD;47,273;1973
BRB;64,222;1973
BLR;66,42;1973
BEL;68,45;1973
BLZ;65,616;1973
BEN;41,844;1973
BTN;40,658;1973
BOL;45,579;1973
BIH;65,569;1973
BWA;54,425;1973
BRA;57,293;1973
BRN;66,641;1973
BGR;69,03;1973
BFA;39,314;1973
BDI;42,91;1973
CPV;54,429;1973
KHM;30,088;1973
CMR;46,201;1973
CAN;69,67;1973
CAF;42,421;1973
TCD;41,403;1973
CHI;68,997;1973
CHL;61,103;1973
CHN;60,791;1973
COL;59,944;1973
COM;45,333;1973
COD;43,352;1973
COG;52,846;1973
CRI;65,996;1973
CIV;44,48;1973
HRV;65,259;1973
CUB;69,699;1973
CYP;71,273;1973
CZE;66,53;1973
DNK;70,97;1973
DJI;49,489;1973
DOM;58,374;1973
ECU;57,612;1973
EGY;51,567;1973
SLV;52,464;1973
GNQ;39,054;1973
ERI;42,637;1973
EST;65,228;1973
ETH;42,205;1973
FRO;72,4;1973
FJI;59,278;1973
FIN;66,97;1973
FRA;68,6;1973
PYF;59,507;1973
GAB;47,583;1973
GMB;39,275;1973
GEO;64,336;1973
DEU;67,984;1973
GHA;49,019;1973
GRC;69,189;1973
GRD;62,509;1973
GUM;64,795;1973
GTM;52,919;1973
GIN;36,419;1973
GNB;41,221;1973
GUY;59,529;1973
HTI;47,022;1973
HND;52,441;1973
HKG;68,5;1973
HUN;66,64;1973
ISL;71,49;1973
IND;50,132;1973
IDN;55,084;1973
