country;density;year
GHA;45,935;1961
GRC;66,274;1961
GRD;58,43;1961
GUM;59,617;1961
GTM;46,552;1961
GIN;33,966;1961
GNB;36,635;1961
GUY;57,946;1961
HTI;41,382;1961
HND;45,279;1961
HKG;63,999;1961
HUN;66,78;1961
ISL;70,84;1961
IND;42,51;1961
IDN;47,942;1961
IRN;46,167;1961
IRQ;49,757;1961
IRL;68,109;1961
ISR;70,47;1961
ITA;67,17;1961
JAM;63,277;1961
JPN;65,91;1961
JOR;53,152;1961
KAZ;53,645;1961
KEN;45,073;1961
KIR;47,631;1961
PRK;48,708;1961
KOR;51,266;1961
KWT;59,94;1961
KGZ;52,449;1961
LAO;41,869;1961
LVA;66,33;1961
LBN;61,865;1961
LSO;45,344;1961
LBR;32,737;1961
LBY;43,034;1961
LTU;66,81;1961
LUX;65,627;1961
MAC;63,437;1961
MKD;60,785;1961
MDG;39,527;1961
MWI;37,444;1961
MYS;59,25;1961
MDV;37,851;1961
MLI;27,548;1961
MLT;67,077;1961
MRT;43,681;1961
MUS;57,963;1961
MEX;55,662;1961
FSM;57,449;1961
MDA;58,444;1961
MNG;47,118;1961
MNE;63,183;1961
MAR;47,709;1961
MOZ;34,137;1961
MMR;40,564;1961
NAM;45,399;1961
NPL;35,407;1961
NLD;71,56;1961
NCL;56,6;1961
NZL;68,4;1961
NIC;46,352;1961
NER;34,631;1961
NGA;36,041;1961
NOR;71,17;1961
OMN;42,652;1961
PAK;46,049;1961
PAN;60,358;1961
PNG;40,733;1961
PRY;62,089;1961
PER;46,97;1961
PHL;56,913;1961
POL;64,9;1961
PRT;60,487;1961
PRI;66,23;1961
QAT;60,041;1961
ROU;64,591;1961
RUS;62,578;1961
RWA;40,999;1961
WSM;47,25;1961
STP;49,575;1961
SAU;44,19;1961
SEN;37,613;1961
SLE;29,018;1961
SGP;62,755;1961
SVK;68,025;1961
SVN;66,1;1961
SLB;49,15;1961
SOM;35,874;1961
ZAF;50,458;1961
SSD;30,795;1961
ESP;67,1;1961
LKA;57,709;1961
LCA;54,498;1961
